SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,-1.0590848794651173,1,0,-0.6937495807018842,-0.8905326220656223,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,-0.6524361422758286,1,1,-1.462852766375157,-0.8527366646580519,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,1,0,1.299477796232757,1,1,0.910192105659471,1.5700966416537845,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
0,0,0,-1.0184200057461885,1,0,-0.2237420783459952,-0.8079999164450865,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0,0,0,-1.3030741217786905,1,0,-1.4677829150012676,-1.0021258349835123,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,1,-1.181079500621904,0,0,-0.8695915483665,-0.9434210155547056,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,1,1,1.5434670385463303,1,0,-1.300157861713503,-0.22674652569548115,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,-1.3030741217786905,1,0,-1.5154410183870046,-1.0027528846201366,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,1,0.079531584664891,1,1,1.3769128422646195,0.6135432321838122,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,1,0,-1.3030741217786905,0,1,-1.1555401686809217,-0.9980175787435589,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,-0.8150956371515441,1,0,-1.490790275256451,-0.9050628757142992,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,0,0,-0.6524361422758286,1,1,0.9594935919205783,-0.3154848604784727,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,-1.2624092480597617,1,0,0.4829125580632084,-0.9395722281299071,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0,1,0,-0.6524361422758286,1,1,0.17724334324434368,-0.4859126272327466,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0.24219107954060648,1,1,-0.49983040140819585,-0.1585062273097302,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,0,0,-1.1404146269029751,1,0,-1.300157861713503,-0.952653780893969,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,0,0.6081749430109663,1,1,1.5264606839233112,1.287578346752574,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,1,1.584131912265259,1,1,1.669434994080522,2.654719533803986,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,0,1.299477796232757,1,1,1.4147106483981347,2.067628094713394,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False
0,1,1,1.5028021648274015,1,0,0.1295852398586066,1.0902090680247114,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
0,0,0,0.079531584664891,1,0,-1.3708233253544235,-0.6662218313641713,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,1,0,-0.0017981627729667332,0,0,-0.17937074071099887,-0.13898119896932057,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,1,-0.4897766474001132,1,1,0.297210293146371,-0.33384227915068515,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,0,-0.36778202624332657,1,1,1.1271186452083426,0.04050635391411349,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,0,0.12019645838381987,1,0,-1.4940770410071915,-0.7424840406184626,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,1,1,1.014823680200255,1,1,0.9151222542855815,1.2832322440987287,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,1.1774831750759704,1,1,-1.3560328794760912,-0.38526034935389036,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,0,-1.0590848794651173,1,1,0.7162729263657824,-0.7426570198285659,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,-1.3030741217786905,1,1,0.8181626646387375,-0.9720490748268013,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,-1.2624092480597617,1,1,0.15423598298916022,-0.9524591792826029,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,0,1.584131912265259,1,1,1.3078907614990691,2.2195038411840895,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
0,1,0,-0.0424630364918956,1,0,-1.4990071896333022,-0.7336621009031944,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,1,0,0.8928290590434683,1,1,0.8263795790155888,1.115399165496004,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,1,1,-0.24578740508653993,1,0,1.1747767485940797,0.19713902866264948,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,0,-0.8964253845894018,1,1,0.47633902656172733,-0.6668488810007958,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,1,1,0.8928290590434683,1,0,-1.4957204238825617,-0.567083121573719,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,-0.6524361422758286,1,0,0.18053010899508398,-0.5068647340565086,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,-1.2217443743408327,1,1,1.2010708746000034,-0.8819052839617204,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,0,-0.1644576576486822,0,0,-1.027356304402043,-0.5744779828056349,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,1,1,0.8928290590434683,1,1,0.6603979086031941,1.003395126954119,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,0,1.0554885539191838,1,0,-0.35685609125098483,0.3366467616109589,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,1,1,0.4861803218541797,1,0,-1.505580721134783,-0.6201228718716425,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,1,0,1.5028021648274015,1,1,0.3925264999178451,1.2766374117135404,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
1,1,0,0.8928290590434683,1,1,0.6719015887307861,1.0971282364288433,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0.5268451955731086,1,1,-0.6510216259422578,-0.1178561129354553,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,0,1.584131912265259,1,0,-0.008458921672493725,1.0668784970620293,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,1,1,0.9334939327623972,1,1,1.0498796500659415,1.3382180105103143,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
1,0,0,-0.08312791021082447,1,1,0.8444567906446614,0.21945334676597483,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,1,0,1.584131912265259,1,1,1.5412511298016436,2.4793834819630307,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1.1368183013570416,1,1,1.5313908325494217,1.9626080917794295,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
1,1,0,1.5434670385463303,0,1,-0.41766125763968376,0.6172622852010333,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,0,0.6081749430109663,1,1,-0.14485970032822368,0.28003931510465474,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,1,0,1.5028021648274015,1,1,1.2914569327453667,2.097726477271368,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,1,-1.099749753184046,1,1,0.6094530394667167,-0.8044105978354431,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,0,-1.3030741217786905,1,0,-0.6526650088176281,-0.9914011239571077,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,1.299477796232757,1,0,-1.4825733608796,-0.4519438348487116,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
